영화 제목,평점,이미지 주소,감독,출연자,개봉일자
교실 안의 야크,9.42,https://movie-phinf.pstatic.net/20200910_92/1599711981305fdQMq_JPEG/movie_image.jpg?type=m99_141_2,파우 초이닝 도르지,"['셰랍 도르지', '펨 잠', '켈든 라모 구룽', '유겐 노르부 렌덥', '체링 도르지']",2020.09.30 개봉
그 여름 가장 조용한 바다,8.76,https://movie-phinf.pstatic.net/20170627_272/1498555306196it5pl_JPEG/movie_image.jpg?type=m99_141_2,기타노 다케시,"['카와하라 사부', '마키 쿠로우도', '오시마 히로코', '테라지마 스스무']",2004.08.13 개봉
그리고 방행자,9.53,https://movie-phinf.pstatic.net/20210218_245/1613616413839i0BYa_JPEG/movie_image.jpg?type=m99_141_2,손원경,"['방행자', '손원경', '김종혁', '성현철']",2021.03.11 개봉
극장판 쿠로코의 농구 라스트 게임,9.1,https://movie-phinf.pstatic.net/20170414_125/1492154333194H9k8h_JPEG/movie_image.jpg?type=m99_141_2,타다 슌스케,"['오노 켄쇼', '오노 유우키', '사이토 치와']",2017.04.27 개봉
기도하는 남자,7.89,https://movie-phinf.pstatic.net/20210324_115/1616551468723GErqJ_JPEG/movie_image.jpg?type=m99_141_2,강동헌,"['박혁권', '류현경', '남기애']",2021.03.24 개봉
동경 이야기,8.72,https://movie-phinf.pstatic.net/20140807_285/1407396855353S63rj_JPEG/movie_image.jpg?type=m99_141_2,오즈 야스지로,"['류 치슈', '히가시야마 치에코']",2014.08.16 개봉
러브 라이브! 더 스쿨 아이돌 무비,8.51,https://movie-phinf.pstatic.net/20150821_231/14401205145729128K_PNG/movie_image.jpg?type=m99_141_2,쿄고쿠 타카히코,"['닛타 에미', '난죠 요시노', '우치다 아야', '미모리 스즈코', '이이다 리호', '파일 ', '쿠스다 아이나', '쿠보 유리카', '토쿠이 소라']",2015.09.03 개봉
러브 액츄얼리,8.93,https://movie-phinf.pstatic.net/20191202_278/1575250003279Taafr_JPEG/movie_image.jpg?type=m99_141_2,리차드 커티스,"['휴 그랜트', '리암 니슨', '콜린 퍼스', '로라 리니', '엠마 톰슨', '앨런 릭먼', '키이라 나이틀리', '마틴 맥커친', '빌 나이']",2020.12.16 개봉
만춘,8.19,https://movie-phinf.pstatic.net/20111223_122/1324637849375kwUd5_JPEG/movie_image.jpg?type=m99_141_2,오즈 야스지로,"['아오키 호히', '하라 세츠코', '미시마 마사오']",2004.05.28 개봉
불안은 영혼을 잠식한다,8.35,https://movie-phinf.pstatic.net/20111222_222/13244942224531A2jF_JPEG/movie_image.jpg?type=m99_141_2,라이너 베르너 파스빈더,['브리지트 미라'],1997.11.22 개봉
